tag,mode,seed,agents,winner,ranks,scores,statuses
verify_v0,2p,1,agents/heuristic_v0.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 1077, ""0"": 307}","[""DONE"", ""DONE""]"
verify_v0,2p,2,agents/heuristic_v0.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 667, ""0"": 505}","[""DONE"", ""DONE""]"
verify_v0,2p,3,agents/heuristic_v0.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 218, ""0"": 109}","[""DONE"", ""DONE""]"
verify_v0,2p,4,agents/heuristic_v0.py|random,0,"{""0"": 1, ""1"": 2}","{""1"": 162, ""0"": 307}","[""DONE"", ""DONE""]"
verify_v0,2p,5,agents/heuristic_v0.py|random,0,"{""0"": 1, ""1"": 2}","{""0"": 307, ""1"": 298}","[""DONE"", ""DONE""]"
verify_v0,2p,6,agents/heuristic_v0.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 262, ""0"": 109}","[""DONE"", ""DONE""]"
verify_v1_4p,4p,1,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""0"": 3, ""1"": 3}","{""3"": 531, ""2"": 758, ""0"": 307, ""1"": 307}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
verify_v1_4p,4p,2,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""1"": 3, ""0"": 4}","{""3"": 638, ""2"": 1104, ""0"": 443, ""1"": 505}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
verify_v1_4p,4p,3,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,0,"{""0"": 1, ""1"": 1, ""3"": 3, ""2"": 4}","{""0"": 109, ""1"": 109, ""2"": 56, ""3"": 61}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
verify_v1_4p,4p,4,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""1"": 2, ""3"": 3, ""0"": 4}","{""3"": 218, ""2"": 444, ""0"": 208, ""1"": 307}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
verify_submission,2p,1,submission/agent.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 1077, ""0"": 307}","[""DONE"", ""DONE""]"
verify_submission,2p,2,submission/agent.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 667, ""0"": 505}","[""DONE"", ""DONE""]"
verify_submission,2p,3,submission/agent.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 218, ""0"": 109}","[""DONE"", ""DONE""]"
verify_submission,2p,4,submission/agent.py|random,0,"{""0"": 1, ""1"": 2}","{""1"": 162, ""0"": 307}","[""DONE"", ""DONE""]"
verify_submission_swept,2p,1,submission/agent.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 1077, ""0"": 307}","[""DONE"", ""DONE""]"
verify_submission_swept,2p,2,submission/agent.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 667, ""0"": 505}","[""DONE"", ""DONE""]"
verify_submission_swept,2p,3,submission/agent.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 218, ""0"": 109}","[""DONE"", ""DONE""]"
verify_submission_swept,2p,4,submission/agent.py|random,0,"{""0"": 1, ""1"": 2}","{""1"": 162, ""0"": 307}","[""DONE"", ""DONE""]"
next_v1_2p,2p,1,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 1467, ""0"": 367}","[""DONE"", ""DONE""]"
next_v1_2p,2p,2,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 688, ""0"": 605}","[""DONE"", ""DONE""]"
next_v1_2p,2p,3,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 514, ""0"": 129}","[""DONE"", ""DONE""]"
next_v1_2p,2p,4,agents/heuristic_v1.py|random,0,"{""0"": 1, ""1"": 2}","{""1"": 255, ""0"": 367}","[""DONE"", ""DONE""]"
next_v1_2p,2p,5,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 491, ""0"": 367}","[""DONE"", ""DONE""]"
next_v1_2p,2p,6,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 414, ""0"": 129}","[""DONE"", ""DONE""]"
next_v1_2p,2p,7,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""0"": 486, ""1"": 1053}","[""DONE"", ""DONE""]"
next_v1_2p,2p,8,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 1885, ""0"": 486}","[""DONE"", ""DONE""]"
next_v1_4p,4p,1,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""0"": 3, ""1"": 3}","{""3"": 678, ""2"": 1086, ""0"": 367, ""1"": 367}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
next_v1_4p,4p,2,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""1"": 2, ""3"": 3, ""0"": 4}","{""2"": 1351, ""3"": 498, ""0"": 444, ""1"": 605}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
next_v1_4p,4p,3,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,0,"{""0"": 1, ""1"": 1, ""3"": 3, ""2"": 4}","{""3"": 107, ""0"": 129, ""1"": 129, ""2"": 34}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
next_v1_4p,4p,4,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""1"": 3, ""0"": 4}","{""2"": 554, ""3"": 350, ""0"": 244, ""1"": 345}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
next_v1_4p,4p,5,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,3,"{""3"": 1, ""0"": 2, ""1"": 3, ""2"": 4}","{""2"": 167, ""3"": 439, ""0"": 367, ""1"": 346}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
next_v1_4p,4p,6,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""0"": 3, ""1"": 3}","{""2"": 449, ""3"": 349, ""0"": 129, ""1"": 129}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
snap_v1_2p,2p,1,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 1467, ""0"": 367}","[""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""1"": {""planets"": 5, ""ships"": 196, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 310, ""home_alive"": false}, ""1"": {""planets"": 10, ""ships"": 1107, ""home_alive"": false}}}"
snap_v1_2p,2p,2,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 688, ""0"": 605}","[""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 260, ""home_alive"": false}, ""1"": {""planets"": 4, ""ships"": 410, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 510, ""home_alive"": false}, ""1"": {""planets"": 4, ""ships"": 680, ""home_alive"": false}}}"
snap_v1_2p,2p,3,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 514, ""0"": 129}","[""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 60, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 49, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 110, ""home_alive"": false}, ""1"": {""planets"": 7, ""ships"": 237, ""home_alive"": false}}}"
snap_v1_2p,2p,4,agents/heuristic_v1.py|random,0,"{""0"": 1, ""1"": 2}","{""1"": 255, ""0"": 367}","[""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 114, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 310, ""home_alive"": false}, ""1"": {""planets"": 2, ""ships"": 169, ""home_alive"": false}}}"
snap_v1_2p,2p,5,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 491, ""0"": 367}","[""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""1"": {""planets"": 2, ""ships"": 76, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 310, ""home_alive"": false}, ""1"": {""planets"": 7, ""ships"": 299, ""home_alive"": false}}}"
snap_v1_2p,2p,6,agents/heuristic_v1.py|random,1,"{""1"": 1, ""0"": 2}","{""1"": 414, ""0"": 129}","[""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 60, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 28, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 110, ""home_alive"": false}, ""1"": {""planets"": 3, ""ships"": 272, ""home_alive"": false}}}"
snap_v1_4p,4p,1,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""0"": 3, ""1"": 3}","{""3"": 678, ""2"": 1086, ""0"": 367, ""1"": 367}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""2"": {""planets"": 3, ""ships"": 165, ""home_alive"": false}, ""3"": {""planets"": 3, ""ships"": 155, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 310, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 310, ""home_alive"": false}, ""2"": {""planets"": 9, ""ships"": 785, ""home_alive"": false}, ""3"": {""planets"": 6, ""ships"": 547, ""home_alive"": false}}}"
snap_v1_4p,4p,2,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""1"": 2, ""3"": 3, ""0"": 4}","{""2"": 1351, ""3"": 498, ""0"": 444, ""1"": 605}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 260, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 260, ""home_alive"": false}, ""2"": {""planets"": 3, ""ships"": 388, ""home_alive"": false}, ""3"": {""planets"": 4, ""ships"": 379, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 448, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 510, ""home_alive"": false}, ""2"": {""planets"": 9, ""ships"": 1138, ""home_alive"": false}, ""3"": {""planets"": 6, ""ships"": 657, ""home_alive"": false}}}"
snap_v1_4p,4p,3,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,0,"{""0"": 1, ""1"": 1, ""3"": 3, ""2"": 4}","{""3"": 107, ""0"": 129, ""1"": 129, ""2"": 34}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 60, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 60, ""home_alive"": false}, ""2"": {""planets"": 1, ""ships"": 54, ""home_alive"": false}, ""3"": {""planets"": 1, ""ships"": 60, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 110, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 110, ""home_alive"": false}, ""2"": {""planets"": 1, ""ships"": 57, ""home_alive"": false}, ""3"": {""planets"": 2, ""ships"": 55, ""home_alive"": false}}}"
snap_v1_4p,4p,4,agents/heuristic_v1.py|agents/heuristic_v0.py|random|random,2,"{""2"": 1, ""3"": 2, ""1"": 3, ""0"": 4}","{""2"": 554, ""3"": 350, ""0"": 244, ""1"": 345}","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","{""step_50"": {""0"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 160, ""home_alive"": false}, ""2"": {""planets"": 2, ""ships"": 248, ""home_alive"": false}, ""3"": {""planets"": 1, ""ships"": 133, ""home_alive"": false}}, ""step_100"": {""0"": {""planets"": 1, ""ships"": 211, ""home_alive"": false}, ""1"": {""planets"": 1, ""ships"": 310, ""home_alive"": false}, ""2"": {""planets"": 5, ""ships"": 429, ""home_alive"": false}, ""3"": {""planets"": 4, ""ships"": 207, ""home_alive"": false}}}"
